side|set|type|id|title|image|rarity|gempId|setId|gempid|imageUrl|row1color|row2color|row3color|row4color|row5color|row6color|counters|damage|destiny|lore|power|powercubes1|powercubes2|powerdots1|powerdots2|whoCanUseTheCard1|whoCanUseTheCard2|
dark|battleofnaboo|character|71|Darth Maul, Dark Lord of the Sith|/battleofnaboo/dark/71darthmauldarklordofthesit.gif|rare|3_71|3|3_71|https://res.starwarsccg.org/youngjedi/cards/battleofnaboo/dark/71darthmauldarklordofthesit.gif|none|none|none|none|none|none|6|5|1|https://res.starwarsccg.org/youngjedi/cards/battleofnaboo/dark/71darthmauldarklordofthesit.gif|6|||||||
dark|battleofnaboo|character|72|Darth Sidious, Sith Manipulator|/battleofnaboo/dark/72darthsidioussithmanipulat.gif|rare|3_72|3|3_72|https://res.starwarsccg.org/youngjedi/cards/battleofnaboo/dark/72darthsidioussithmanipulat.gif|red|none|none|none|none|none|5|6|4|Adds power bonus and subtracts 1 from his DAMAGE when he is using any Sith Lightsaber.|5|||||||
dark|battleofnaboo|character|73|Sebulba, Dangerous Podracer Pilot|/battleofnaboo/dark/73sebulbadangerouspodracerp.gif|rare|3_73|3|3_73|https://res.starwarsccg.org/youngjedi/cards/battleofnaboo/dark/73sebulbadangerouspodracerp.gif|none|none|blue|none|none|none|4|2|3|"""Poodoo!"" - Sejulba"|4|||||||
dark|battleofnaboo|character|74|Watto, Toydarian Gambler|/battleofnaboo/dark/74wattotoydariangambler.gif|rare|3_74|3|3_74|https://res.starwarsccg.org/youngjedi/cards/battleofnaboo/dark/74wattotoydariangambler.gif|none|none|blue|none|none|none|2|2|3|You won this small toss, outlander, but you won't winna the race! Watto|3|||||||
dark|battleofnaboo|character|75|Aurra Sing, Mercenary|/battleofnaboo/dark/75aurrasingmercenary.gif|rare|3_75|3|3_75|https://res.starwarsccg.org/youngjedi/cards/battleofnaboo/dark/75aurrasingmercenary.gif|red|none|none|none|none|none|3|3|3|Adds power bonus when she is using Aurra Sing's Blaster Rifle.|5|||||||
dark|battleofnaboo|character|76|Jabba The Hutt, Crime Lord|/battleofnaboo/dark/76jabbathehuttcrimelord.gif|rare|3_76|3|3_76|https://res.starwarsccg.org/youngjedi/cards/battleofnaboo/dark/76jabbathehuttcrimelord.gif|none|none|blue|none|none|none|3|2|1|"""Shloss go du boska mallya!"" - Jabba the Hutt"|4|||||||
dark|battleofnaboo|character|77|Nute Gunray, Neimoidian Despot|/battleofnaboo/dark/77nutegunrayneimoidiandespo.gif|rare|3_77|3|3_77|https://res.starwarsccg.org/youngjedi/cards/battleofnaboo/dark/77nutegunrayneimoidiandespo.gif|none|none|blue|none|none|none|3|3|6|Adds power bonus when he is fighting Queen Amidala.|3|||||||
dark|battleofnaboo|character|78|Rune Haako, Neimoidian Deputy|/battleofnaboo/dark/78runehaakoneimoidiandeputy.gif|rare|3_78|3|3_78|https://res.starwarsccg.org/youngjedi/cards/battleofnaboo/dark/78runehaakoneimoidiandeputy.gif|none|none|blue|none|none|none|3|3|6|Adds power bonus when he is fighting any handmaiden.|3|||||||
dark|battleofnaboo|character|79|Destroyer Droid Squad, Guard Division|/battleofnaboo/dark/79destroyerdroidsquadguard.gif|rare|3_79|3|3_79|https://res.starwarsccg.org/youngjedi/cards/battleofnaboo/dark/79destroyerdroidsquadguard.gif|red|none|none|none|none|none|4|4|2|Destroyers droids can generate their own deflector shields.|5|||||||
dark|battleofnaboo|character|80|Battle Droid Squad, Guard Unit|/battleofnaboo/dark/80battledroidsquadguardunit.gif|rare|3_80|3|3_80|https://res.starwarsccg.org/youngjedi/cards/battleofnaboo/dark/80battledroidsquadguardunit.gif|red|none|none|none|none|none|3|3|4|There are more active battle droids than galactic leaders would prefer to admit.|4|||||||
