side|set|type|id|title|image|rarity|gempId|setId|gempid|imageUrl|row1color|row2color|row3color|row4color|row5color|row6color|counters|damage|destiny|lore|power|powercubes1|powercubes2|powerdots1|powerdots2|whoCanUseTheCard1|whoCanUseTheCard2|
light|boontaevepodrace|character|1|Anakin Skywalker, Boonta Eve Podracer Pilot|/boontaevepodrace/light/1anakinskywalkerboontaeve.jpg|ultra-rare|8_1|8|8_1|https://res.starwarsccg.org/youngjedi/cards/boontaevepodrace/light/1anakinskywalkerboontaeve.jpg|none|none|blue|none|none|none|3|4|4|When he deploys to Boonta Eve Classic, place one additional Thrut token on him.|0|||||||
light|boontaevepodrace|character|2|Yoda, Jedi Instructor|/boontaevepodrace/light/2yodajediinstructor.jpg|rare|8_2|8|8_2|https://res.starwarsccg.org/youngjedi/cards/boontaevepodrace/light/2yodajediinstructor.jpg|none|none|blue|none|none|none|4|4|5|Adds power bonus to any other Jedi in a duel here.|4|||||||
light|boontaevepodrace|character|3|C-3PO, Human-Cyborg Relations Droid|/boontaevepodrace/light/3c3pohumancyborgrelations.jpg|rare|8_3|8|8_3|https://res.starwarsccg.org/youngjedi/cards/boontaevepodrace/light/3c3pohumancyborgrelations.jpg|none|none|none|none|green|none|1|0|5|When Anakin or Shmi Skywalker deploys here, draw one card.|1|||||||
light|boontaevepodrace|character|4|Jira, Pallie Vendor|/boontaevepodrace/light/4jirapallievendor.jpg|rare|8_4|8|8_4|https://res.starwarsccg.org/youngjedi/cards/boontaevepodrace/light/4jirapallievendor.jpg|red|white|blue|white|green|white|1|2|5|When she deploys, you may deploy an Anakin's Friend from your draw deck.|1|||||||
light|boontaevepodrace|character|5|Kitster, Anakin's Friend|/boontaevepodrace/light/5kitsteranakinsfriend.jpg|rare|8_5|8|8_5|https://res.starwarsccg.org/youngjedi/cards/boontaevepodrace/light/5kitsteranakinsfriend.jpg|none|none|none|none|green|none|1|1|4|When he deploys, you may reveal a Weapon card from your draw deck, put it in your hand, and reshuffle that deck.|1|||||||
light|boontaevepodrace|character|6|Wald, Anakin's Friend|/boontaevepodrace/light/6waldanakinsfriend.jpg|rare|8_6|8|8_6|https://res.starwarsccg.org/youngjedi/cards/boontaevepodrace/light/6waldanakinsfriend.jpg|none|none|none|none|green|none|1|1|6|When he deploys, you may reveal a Character card from your draw deck, put it in your hand, and reshuffle that deck.|1|||||||
light|boontaevepodrace|character|7|Seek, Anakin's Friend|/boontaevepodrace/light/7seekanakinsfriend.jpg|uncommon|8_7|8|8_7|https://res.starwarsccg.org/youngjedi/cards/boontaevepodrace/light/7seekanakinsfriend.jpg|none|none|none|none|green|none|1|1|5|https://res.starwarsccg.org/youngjedi/cards/boontaevepodrace/light/7seekanakinsfriend.jpg|1|||||||
light|boontaevepodrace|character|8|Amee, Anakin's Friend|/boontaevepodrace/light/8ameeanakinsfriend.jpg|uncommon|8_8|8|8_8|https://res.starwarsccg.org/youngjedi/cards/boontaevepodrace/light/8ameeanakinsfriend.jpg|none|none|none|none|green|none|1|2|4|When she deploys, you may reveal a Starship card from your draw deck, put it in your hand, and reshuffle that deck.|2|||||||
light|boontaevepodrace|character|9|Melee, Anakin's Friend|/boontaevepodrace/light/9meleeanakinsfriend.jpg|uncommon|8_9|8|8_9|https://res.starwarsccg.org/youngjedi/cards/boontaevepodrace/light/9meleeanakinsfriend.jpg|none|none|none|none|green|none|1|1|5|When she deploys, you may reveal a Location card from your draw deck, put it in your hand, and reshuffle that deck.|2|||||||
light|boontaevepodrace|character|10|Captain Tarpals, Gungan Leader|/boontaevepodrace/light/10captaintarpalsgungan.jpg|rare|8_10|8|8_10|https://res.starwarsccg.org/youngjedi/cards/boontaevepodrace/light/10captaintarpalsgungan.jpg|none|none|blue|none|none|none|3|2|5|https://res.starwarsccg.org/youngjedi/cards/boontaevepodrace/light/10captaintarpalsgungan.jpg|3|||||||
light|boontaevepodrace|character|11|Boles Roor, Podracer Pilot|/boontaevepodrace/light/11bolesroorpodracerpilot.jpg|uncommon|8_11|8|8_11|https://res.starwarsccg.org/youngjedi/cards/boontaevepodrace/light/11bolesroorpodracerpilot.jpg|none|none|none|none|green|none|2|1|4|"""You have been well trained,my young apprentice.""-Darth Sidious"|2|||||||
