side|set|type|id|title|image|rarity|gempId|setId|gempid|imageUrl|row1color|row2color|row3color|row4color|row5color|row6color|counters|damage|destiny|lore|power|powercubes1|powercubes2|powerdots1|powerdots2|whoCanUseTheCard1|whoCanUseTheCard2|
dark|duelofthefates|character|31|Darth Maul, Student of the Dark Side|/duelofthefates/dark/darthmaul.gif|ultra-rare|5_31|5|5_31|https://res.starwarsccg.org/youngjedi/cards/duelofthefates/dark/darthmaul.gif|red|none|none|none|none|none|6|5|1|Adds power bonus when he is dueling any Jedi.|6|||||||
dark|duelofthefates|character|32|Darth Sidious, Master of the Dark Side|/duelofthefates/dark/darthsidious.gif|rare|5_32|5|5_32|https://res.starwarsccg.org/youngjedi/cards/duelofthefates/dark/darthsidious.gif|red|none|none|none|none|none|5|6|4|When you win control of this planet,you may discard him and three cards from your hand to then draw three cards.|5|||||||
dark|duelofthefates|character|33|Aurra Sing, Trophy Collector|/duelofthefates/dark/aurrasing.gif|rare|5_33|5|5_33|https://res.starwarsccg.org/youngjedi/cards/duelofthefates/dark/aurrasing.gif|red|none|none|none|none|none|3|3|3|Adds power bonus when she fights any Jedi. May use any • Sith Lightsaber.|5|||||||
dark|duelofthefates|character|34|Tey How, Neimoidian Command Officer|/duelofthefates/dark/teyhow.gif|rare|5_34|5|5_34|https://res.starwarsccg.org/youngjedi/cards/duelofthefates/dark/teyhow.gif|none|none|none|none|green|none|1|2|5|Adds power bonus to each of your transport starships.|1|||||||
dark|duelofthefates|character|35|OWO-1, Battle Droid Command Officer|/duelofthefates/dark/owo1.gif|rare|5_35|5|5_35|https://res.starwarsccg.org/youngjedi/cards/duelofthefates/dark/owo1.gif|red|none|none|none|none|none|3|1|4|When it deploys, you may deploy one battle droid from your draw deck.|3|||||||
dark|duelofthefates|character|36|Rayno Vaca, Taxi Driver|/duelofthefates/dark/raynovaca.gif|rare|5_36|5|5_36|https://res.starwarsccg.org/youngjedi/cards/duelofthefates/dark/raynovaca.gif|red|none|none|none|none|none|2|1|4|Adds power bonus when he is using any Coruscant Taxi.|2|||||||
dark|duelofthefates|character|37|Baskol Yeesrim, Gran Senator|/duelofthefates/dark/baskolyeesrim.gif|rare|5_37|5|5_37|https://res.starwarsccg.org/youngjedi/cards/duelofthefates/dark/baskolyeesrim.gif|none|none|blue|none|none|none|2|1|4|When he deploys to Coruscant, you may draw one card.|2|||||||
dark|duelofthefates|character|38|Starfighter Droid, DFS-327|/duelofthefates/dark/starfighterdroiddfs327.gif|rare|5_38|5|5_38|https://res.starwarsccg.org/youngjedi/cards/duelofthefates/dark/starfighterdroiddfs327.gif|none|none|none|none|green|none|1|1|4|During your Deploy step, you may discard this card from play to deploy one Droid Starfighter from your draw deck.|2|||||||
dark|duelofthefates|character|39|Starfighter Droid, DFS-1104|/duelofthefates/dark/starfighterdroiddfs1104.gif|rare|5_39|5|5_39|https://res.starwarsccg.org/youngjedi/cards/duelofthefates/dark/starfighterdroiddfs1104.gif|none|none|none|none|green|none|1|1|4|During your Deploy step, you may discard this card from play to deploy one Droid Starfighter from your draw deck.|2|||||||
dark|duelofthefates|character|40|Starfighter Droid, DFS-1138|/duelofthefates/dark/starfighterdroiddfs1138.gif|rare|5_40|5|5_40|https://res.starwarsccg.org/youngjedi/cards/duelofthefates/dark/starfighterdroiddfs1138.gif|red|white|blue|white|green|white|1|1|4|During your Deploy step, you may discard this card from play to deploy one Droid Starfighter from your draw deck.|2|||||||
