side|set|type|id|title|image|rarity|gempId|setId|gempid|imageUrl|row1color|row2color|row3color|row4color|row5color|row6color|counters|damage|destiny|lore|power|powercubes1|powercubes2|powerdots1|powerdots2|whoCanUseTheCard1|whoCanUseTheCard2|
light|enhancedbattleofnaboo|character|P9|Anakin Skywalker, Tested By The Jedi Council|/enhancedbattleofnaboo/light/anakinskywalker.gif|pm|6_P9|6|6_P9|https://res.starwarsccg.org/youngjedi/cards/enhancedbattleofnaboo/light/anakinskywalker.gif|white|white|white|white|white|white|2|4|6|Once each turn. when he draws destiny for a Battle card. a weapon, or his own power, you may discard that card and redraw.|0|||||||
light|enhancedbattleofnaboo|character|P11|Captain Panaka, Royal Defender|/enhancedbattleofnaboo/light/captainpanaka.gif|pm|6_P11|6|6_P11|https://res.starwarsccg.org/youngjedi/cards/enhancedbattleofnaboo/light/captainpanaka.gif|white|white|white|white|white|white|2|3|6|He is considered to be a Naboo Officer, Royal Guard, and Naboo Security for all your cards.|4|||||||
light|enhancedbattleofnaboo|character|P8|Obi-Wan Kenobi, Jedi Avenger|/enhancedbattleofnaboo/light/obiwankenobi.gif|pm|6_P8|6|6_P8|https://res.starwarsccg.org/youngjedi/cards/enhancedbattleofnaboo/light/obiwankenobi.gif|white|white|white|white|white|white|4|5|6|Adds 2 to the DAMAGE of each character he defeats.|5|||||||
light|enhancedbattleofnaboo|character|P10|Padmé Naberrie, Loyal Handmaiden|/enhancedbattleofnaboo/light/padmenaberrie.gif|pm|6_P10|6|6_P10|https://res.starwarsccg.org/youngjedi/cards/enhancedbattleofnaboo/light/padmenaberrie.gif|white|white|white|white|white|white|2|2|6|Adds power bonus when Queen Amidala or any handmaiden has fought this turn.|3|||||||
light|enhancedbattleofnaboo|character|P13|R2-D2, Starship Maintenance Droid|/enhancedbattleofnaboo/light/r2d2.gif|pm|6_P13|6|6_P13|https://res.starwarsccg.org/youngjedi/cards/enhancedbattleofnaboo/light/r2d2.gif|white|white|white|white|white|white|1|0|6|Adds power bonus to Amidala's Starship when that starship is evacuating this planet|1|||||||
light|enhancedbattleofnaboo|character|P12|Yoda, Wise Jedi|/enhancedbattleofnaboo/light/yoda.gif|pm|6_P12|6|6_P12|https://res.starwarsccg.org/youngjedi/cards/enhancedbattleofnaboo/light/yoda.gif|white|white|white|white|white|white|3|4|6|Adds power bonus when your opponent has controlled a planet.|4|||||||
dark|enhancedbattleofnaboo|character|P16|Aurra Sing, Scoundrel|/enhancedbattleofnaboo/dark/aurrasing.gif|pm|6_P16|6|6_P16|https://res.starwarsccg.org/youngjedi/cards/enhancedbattleofnaboo/dark/aurrasing.gif|white|white|white|white|white|white|2|3|6|When she deploys, you may deploy Aurra Sing’s Blaster Rifle form your draw deck.|5|||||||
dark|enhancedbattleofnaboo|character|P14|Darth Sidious, The Phantom Menace|/enhancedbattleofnaboo/dark/darthsidious.gif|pm|6_P14|6|6_P14|https://res.starwarsccg.org/youngjedi/cards/enhancedbattleofnaboo/dark/darthsidious.gif|none|none|none|none|none|none|4|6|6|When he deploys to Coruscant, your opponent takes 2 DAMAGE.|5|||||||
dark|enhancedbattleofnaboo|character|P17|Jabba The Hutt|/enhancedbattleofnaboo/dark/jabbathehutt.gif|pm|6_P17|6|6_P17|https://res.starwarsccg.org/youngjedi/cards/enhancedbattleofnaboo/dark/jabbathehutt.gif|none|none|none|none|none|white|2|2|6|Adds power bonus when you have controlled Tatooine|4|||||||
dark|enhancedbattleofnaboo|character|P18|Nute Gunray, Neimoidean Bureaucrat|/enhancedbattleofnaboo/dark/nutegunray.gif|pm|6_P18|6|6_P18|https://res.starwarsccg.org/youngjedi/cards/enhancedbattleofnaboo/dark/nutegunray.gif|white|white|white|white|white|white|2|3|6|When he deploys to Naboo, you may deploy Rune Haaka from your draw deck.|3|||||||
dark|enhancedbattleofnaboo|character|P19|Rune Haako, Neimoidean Lieutenant|/enhancedbattleofnaboo/dark/runehaako.gif|pm|6_P19|6|6_P19|https://res.starwarsccg.org/youngjedi/cards/enhancedbattleofnaboo/dark/runehaako.gif|white|white|white|white|white|white|2|3|6|When he deploys to Naboo, you may deploy one Neimoidian from your draw deck.|3|||||||
dark|enhancedbattleofnaboo|character|P15|Watto, Risk Taker|/enhancedbattleofnaboo/dark/watto.gif|pm|6_P15|6|6_P15|https://res.starwarsccg.org/youngjedi/cards/enhancedbattleofnaboo/dark/watto.gif|white|white|white|white|white|white|1|2|6|Each time he draws destiny for a Battle card or weapon, draw two and choose one.Put both cards in your hand.|3|||||||
