side|set|type|id|title|image|rarity|gempId|setId|gempid|imageUrl|row1color|row2color|row3color|row4color|row5color|row6color|counters|damage|destiny|lore|power|powercubes1|powercubes2|powerdots1|powerdots2|whoCanUseTheCard1|whoCanUseTheCard2|
dark|menaceofdarthmaul|Character|71|Darth Maul, Sith Apprentice|/menaceofdarthmaul/dark/71darthmaulsithapprentice.gif|rare|1_71|1|1_71|https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/71darthmaulsithapprentice.gif|red|none|none|none|none|none|6|5|1|"""You have been well trained,my young apprentice.""-Darth Sidious"|6|||||||
dark|menaceofdarthmaul|Character|72|Darth Sidious, Sith Master|/menaceofdarthmaul/dark/72darthsidioussithmaster.gif|rare|1_72|1|1_72|https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/72darthsidioussithmaster.gif|red|none|none|none|none|none|5|6|4|"""The republic will soon be in my control."" Darth Sidous"|5|||||||
dark|menaceofdarthmaul|Character|73|Sebulba, Bad-Tempered Dug|/menaceofdarthmaul/dark/73sebulbabadtempereddug.gif|rare|1_73|1|1_73|https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/73sebulbabadtempereddug.gif|none|none|none|none|none|white|4|2|3|"""Neek me chawa, wermo, mo kille ma klounkee!"" -Sebilba, Podracer pilot"|4|||||||
dark|menaceofdarthmaul|Character|74|Watto, Slave Owner|/menaceofdarthmaul/dark/74wattoslaveowner.gif|rare|1_74|1|1_74|https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/74wattoslaveowner.gif|none|none|blue|none|none|none|2|2|3|"""What you think you're some kinda Jedi,waving your hand around  like that1-Watto"|3|||||||
dark|menaceofdarthmaul|Character|75|Aurra Sing, Bounty Hunter|/menaceofdarthmaul/dark/75aurrasingbountyhunter.gif|rare|1_75|1|1_75|https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/75aurrasingbountyhunter.gif|red|none|none|none|none|none|3|3|3|Beautiful and ruthless, Aurra Sing is well worth the price of her exorbitant retainer.|5|||||||
dark|menaceofdarthmaul|Character|76|Jabba the Hutt, Vile Crime Lord|/menaceofdarthmaul/dark/76jabbathehutvilecrimelord.gif|rare|1_76|1|1_76|https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/76jabbathehutvilecrimelord.gif|none|none|blue|none|none|none|3|2|1|"""His honor, our glorious host, Jabba the Hutt has entered the arena."" - Fode and Beed"|4|||||||
dark|menaceofdarthmaul|Character|77|Gardulla the Hutt, Crime Lord|/menaceofdarthmaul/dark/77gardullathehutcrimelord.gif|uncommon|1_77|1|1_77|https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/77gardullathehutcrimelord.gif|none|none|white|none|none|none|2|2|2|"""Would you like to discuss this with the Hutts1 I'm sure they can settle this."" - Qui-Gon"|3|||||||
dark|menaceofdarthmaul|Character|78|Destroyer Droid Squad, Security Division|/menaceofdarthmaul/dark/78destroyerdroidsquad.gif|rare|1_78|1|1_78|https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/78destroyerdroidsquad.gif|red|none|none|none|none|none|4|4|2|"""I want destroyer droids up here at once!"" - Nute Gunray"|5|||||||
dark|menaceofdarthmaul|Character|79|Battle Droid Squad, Assault Unit|/menaceofdarthmaul/dark/79battledroidsquadassault.gif|rare|1_79|1|1_79|https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/79battledroidsquadassault.gif|red|none|none|none|none|none|3|3|4|"""There are too many of them!"" - Captain Panaka"|4|||||||
dark|menaceofdarthmaul|Character|80|Ben Quadinaros, Podracer Pilot|/menaceofdarthmaul/dark/80benquadinarospodracer.gif|uncommon|1_80|1|1_80|https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/80benquadinarospodracer.gif|none|none|none|none|green|none|2|2|4|"""Quadinaros is the tallest entrant in the Boonta Eve Podrace."" - Podracing Quarterly"|2|||||||
dark|menaceofdarthmaul|Character|81|Gasgano, Podracer Pilot|/menaceofdarthmaul/dark/81gasganpodracerpilot.gif|uncommon|1_81|1|1_81|https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/81gasganpodracerpilot.gif|none|none|none|none|green|none|2|2|4|"""The twenty-four-fingered Xexto has never beaten sebulba."" - Podracing Quarterly"|2|||||||
dark|menaceofdarthmaul|Character|82|Mawhonic, Podracer Pilot|/menaceofdarthmaul/dark/82mawhonicpodracerpilot.gif|uncommon|1_82|1|1_82|https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/82mawhonicpodracerpilot.gif|none|none|none|none|green|none|2|2|4|"""Mawhonic tuta Hok."" Jabba the Hutt"|2|||||||
