side|set|type|id|title|image|rarity|gempId|setId|gempid|imageUrl|row1color|row2color|row3color|row4color|row5color|row6color|counters|damage|destiny|lore|power|powercubes1|powercubes2|powerdots1|powerdots2|whoCanUseTheCard1|whoCanUseTheCard2|
dark|thejedicouncil|Character|71|Darth Maul, Master of Evil|/thejedicouncil/dark/71darthmaulmasterofevil.gif|rare|2_71|2|2_71|https://res.starwarsccg.org/youngjedi/cards/thejedicouncil/dark/71darthmaulmasterofevil.gif|red|none|none|none|none|none|6|5|1|"""He will deal with the Jedi."" - Darth Sidious"|6|||||||
dark|thejedicouncil|Character|72|Darth Sidious, Lord of the Sith|/thejedicouncil/dark/72darthsidiouslordofthesith.gif|rare|2_72|2|2_72|https://res.starwarsccg.org/youngjedi/cards/thejedicouncil/dark/72darthsidiouslordofthesith.gif|red|none|none|none|none|none|5|6|4|"""Destroy all high-ranking officials."" - Darth Sidious"|5|||||||
dark|thejedicouncil|Character|73|Sebulba, Podracer Pilot|/thejedicouncil/dark/73sebulbapodracerpilot.gif|rare|2_73|2|2_73|https://res.starwarsccg.org/youngjedi/cards/thejedicouncil/dark/73sebulbapodracerpilot.gif|none|none|blue|none|none|none|4|2|3|"""Woe granee champio, du Pixalito... Sebulba!"" - Fode and Beed"|4|||||||
dark|thejedicouncil|Character|74|Watto, Junk Merchant|/thejedicouncil/dark/74wattojunkmerchant.gif|rare|2_74|2|2_74|https://res.starwarsccg.org/youngjedi/cards/thejedicouncil/dark/74wattojunkmerchant.gif|none|none|blue|none|none|none|2|2|3|"""Republic credits are no good out here. I need something more real."" - Watto"|3|||||||
dark|thejedicouncil|Character|75|Jabba the Hutt, Gangster|/thejedicouncil/dark/75jabbathehuttgangster.gif|rare|2_75|2|2_75|https://res.starwarsccg.org/youngjedi/cards/thejedicouncil/dark/75jabbathehuttgangster.gif|none|none|blue|none|none|none|3|2|1|"""O grandio lust,amu intoo tah paena,Jabba du hutt!"" -Fode and Beed"|4|||||||
dark|thejedicouncil|Character|76|Nute Gunray, Neimoidian Viceroy|/thejedicouncil/dark/76nutegunrayneimoidian.gif|rare|2_76|2|2_76|https://res.starwarsccg.org/youngjedi/cards/thejedicouncil/dark/76nutegunrayneimoidian.gif|none|none|blue|none|none|none|3|3|6|"""They must be dead by now.Blast what's left of them.""-Nute Gunray"|3|||||||
dark|thejedicouncil|Character|77|Rune Haako, Neimoidian Advisor|/thejedicouncil/dark/77runehaakoneimoidian.gif|rare|2_77|2|2_77|https://res.starwarsccg.org/youngjedi/cards/thejedicouncil/dark/77runehaakoneimoidian.gif|none|none|blue|none|none|none|3|3|6|"""We will not survive this."" - Rune Haako"|3|||||||
dark|thejedicouncil|Character|78|Destroyer Droid Squad, Defense Division|/thejedicouncil/dark/78destroyerdroidsquad.gif|rare|2_78|2|2_78|https://res.starwarsccg.org/youngjedi/cards/thejedicouncil/dark/78destroyerdroidsquad.gif|red|none|none|none|none|none|4|4|2|Trade federation destroyer droids were built for one purpose only.|5|||||||
dark|thejedicouncil|Character|79|Battle Droid Squad, Escort Unit|/thejedicouncil/dark/79battledroidsquadescort.gif|rare|2_79|2|2_79|https://res.starwarsccg.org/youngjedi/cards/thejedicouncil/dark/79battledroidsquadescort.gif|red|none|none|none|none|none|3|3|4|"""If the Viceroy escapes... he will return hith another droid army"" -Obi-Wan Kenobi"|4|||||||
dark|thejedicouncil|Character|80|Trade Federation Tank, Assault Division|/thejedicouncil/dark/80tradefederationtank.gif|rare|2_80|2|2_80|https://res.starwarsccg.org/youngjedi/cards/thejedicouncil/dark/80tradefederationtank.gif|none|none|blue|none|none|none|4|3|5|"""Yousa bringen da Mackineeks."" - Boss Nass"|4|||||||
dark|thejedicouncil|Character|81|Lott Dod, Neimoidian Senator|/thejedicouncil/dark/81lottdodneimoidiansenator.gif|rare|2_81|2|2_81|https://res.starwarsccg.org/youngjedi/cards/thejedicouncil/dark/81lottdodneimoidiansenator.gif|none|none|none|none|none|none|2|1|5|You cannot allow us to be condemned without reasonable observation. Lott Dod|2|||||||
dark|thejedicouncil|Character|82|Fode and Beed, Podrace Announcer|/thejedicouncil/dark/82fodeandbeedpodrace.gif|rare|2_82|2|2_82|https://res.starwarsccg.org/youngjedi/cards/thejedicouncil/dark/82fodeandbeedpodrace.gif|none|none|none|none|green|none|2|2|2|"""We have perfect weather today for the Boonta Classic.""-Fode and Beed"|2|||||||
dark|thejedicouncil|Character|83|Clegg Holdfast, Podracer Pilot|/thejedicouncil/dark/83cleggholdfastpodracer.gif|uncommon|2_83|2|2_83|https://res.starwarsccg.org/youngjedi/cards/thejedicouncil/dark/83cleggholdfastpodracer.gif|white|white|white|white|white|white|2|2|4|"""My engines are biggers than yours!"" - Clegg Holdfast"|2|||||||
dark|thejedicouncil|Character|84|Dud Bolt, Podracer Pilot|/thejedicouncil/dark/84dudboltpodracerpilot.gif|uncommon|2_84|2|2_84|https://res.starwarsccg.org/youngjedi/cards/thejedicouncil/dark/84dudboltpodracerpilot.gif|none|none|none|none|green|none|2|2|4|"""Looks like Wattto cheated you on that part'"" -Dud Bolt"|2|||||||
dark|thejedicouncil|Character|85|Mars Guo, Podracer Pilot|/thejedicouncil/dark/85marsguopodracerpilot.gif|uncommon|2_85|2|2_85|https://res.starwarsccg.org/youngjedi/cards/thejedicouncil/dark/85marsguopodracerpilot.gif|none|none|none|none|green|none|2|2|4|"""You're gonna fry!"" - Mars Guo"|2|||||||
