side|set|type|id|title|image|rarity|gempId|setId|gempid|imageUrl|row1color|row2color|row3color|row4color|row5color|row6color|counters|damage|destiny|lore|power|powercubes1|powercubes2|powerdots1|powerdots2|whoCanUseTheCard1|whoCanUseTheCard2|
light|vset1|Character|JC42|Adi Gallia's Lightsaber|/vset1/light/adigalliaslightsaber.png|common|101_42|101|101_42|https://res.starwarsccg.org/youngjedi/cards/vset1/light/adigalliaslightsaber.png|none|yellow|none|none|none|none||||||||||||
light|vset1|Character|JC4X|Anakin Skywalker, Child of Prophecy|/vset1/light/anakinskywalkerchildof.png|common|101_JC4X|101|101_JC4X|https://res.starwarsccg.org/youngjedi/cards/vset1/light/anakinskywalkerchildof.png|none|none|blue|none|none|none||||||||||||
light|vset1|Character|JC14X|Depa Billaba, Jedi Master|/vset1/light/depabillabajedimaster.png|common|101_JC14X|101|101_JC14X|https://res.starwarsccg.org/youngjedi/cards/vset1/light/depabillabajedimaster.png|red|none|none|none|none|none||||||||||||
light|vset1|Character|JC32|Republic Pilot, Veteran|/vset1/light/republicpilotveteran.png|common|101_JC32|101|101_JC32|https://res.starwarsccg.org/youngjedi/cards/vset1/light/republicpilotveteran.png|none|none|blue|none|none|none||||||||||||
light|vset1|Character|JC16|Even Piell, Lannik Jedi Master|/vset1/light/evenpielllannikjedi.png|common|101_JC16|101|101_JC16|https://res.starwarsccg.org/youngjedi/cards/vset1/light/evenpielllannikjedi.png|red|none|none|none|none|none||||||||||||
light|vset1|Character|JC3|Jar Jar Binks, Gungan Outcast|/vset1/light/jarjarbinksgunganoutcast.png|common|101_JC3|101|101_JC3|https://res.starwarsccg.org/youngjedi/cards/vset1/light/jarjarbinksgunganoutcast.png|none|none|blue|none|none|none||||||||||||
light|vset1|Character|JC12|Ki-Adi-Mundi, Cerean Jedi Knight|/vset1/light/kiadimundicereanjedi.png|common|101_JC12|101|101_JC12|https://res.starwarsccg.org/youngjedi/cards/vset1/light/kiadimundicereanjedi.png|red|none|none|none|none|none||||||||||||
light|vset1|Character|JC7|Mace Windu, Senior Jedi Council Member|/vset1/light/macewinduseniorjedicouncil.png|common|101_JC7|101|101_JC7|https://res.starwarsccg.org/youngjedi/cards/vset1/light/macewinduseniorjedicouncil.png|red|none|none|none|none|none||||||||||||
light|vset1|Character|JC39|Obi-Wan Kenobi, Jedi Warrior|/vset1/light/obiwankenobijediwarrior.png|common|101_JC39|101|101_JC39|https://res.starwarsccg.org/youngjedi/cards/vset1/light/obiwankenobijediwarrior.png|red|none|none|none|none|none||||||||||||
light|vset1|Character|JC9|Queen Amidala, Voice of Her People|/vset1/light/queenamidalavoiceofher.png|common|101_JC9|101|101_JC9|https://res.starwarsccg.org/youngjedi/cards/vset1/light/queenamidalavoiceofher.png|none|none|none|none|green|none||||||||||||
light|vset1|Character|JC21X|Yarael Poof, Quermian Jedi Master|/vset1/light/yaraelpoofquermianjedi.png|common|101_JC21X|101|101_JC21X|https://res.starwarsccg.org/youngjedi/cards/vset1/light/yaraelpoofquermianjedi.png|red|none|none|none|none|none||||||||||||
